MIDI File: Carly Rae Jepsen - Call Me Maybe.mid
Tempo: 119 BPM
Time Signature: 4/4
Total Tracks (in source MIDI): 5
Consolidated Instrument Tracks: 4

Instrument: Drum Kit / Percussion
  Note: A5, Time: 14.99s, Duration: 0.06s, Velocity: 0.39
  Note: G5, Time: 15.05s, Duration: 0.06s, Velocity: 0.39
  Note: G6, Time: 15.12s, Duration: 0.06s, Velocity: 0.39
  Note: F#6, Time: 15.18s, Duration: 0.06s, Velocity: 0.39
  Note: E6, Time: 15.24s, Duration: 0.06s, Velocity: 0.39
  Note: D6, Time: 15.30s, Duration: 0.06s, Velocity: 0.39
  Note: C6, Time: 15.37s, Duration: 0.06s, Velocity: 0.39
  Note: B5, Time: 15.43s, Duration: 0.06s, Velocity: 0.39
  Note: A5, Time: 15.49s, Duration: 0.06s, Velocity: 0.39
  Note: G5, Time: 15.56s, Duration: 0.06s, Velocity: 0.39

Instrument: Piano (Consolidated)
  Note: E3, Time: 0.00s, Duration: 0.50s, Velocity: 0.39
  Note: G3, Time: 0.00s, Duration: 0.50s, Velocity: 0.39
  Note: B3, Time: 0.00s, Duration: 0.50s, Velocity: 0.39
  Note: B4, Time: 0.00s, Duration: 0.50s, Velocity: 0.39
  Note: B4, Time: 0.00s, Duration: 0.50s, Velocity: 0.39
  Note: D5, Time: 0.00s, Duration: 0.50s, Velocity: 0.39
  Note: D5, Time: 0.00s, Duration: 0.50s, Velocity: 0.39
  Note: G5, Time: 0.00s, Duration: 0.50s, Velocity: 0.39
  Note: G5, Time: 0.00s, Duration: 0.50s, Velocity: 0.39
  Note: D5, Time: 0.50s, Duration: 0.13s, Velocity: 0.39
  Note: D5, Time: 0.50s, Duration: 0.13s, Velocity: 0.39
  Note: E5, Time: 0.63s, Duration: 0.25s, Velocity: 0.39
  Note: E5, Time: 0.63s, Duration: 0.25s, Velocity: 0.39
  Note: G5, Time: 0.87s, Duration: 0.38s, Velocity: 0.39
  Note: G5, Time: 0.87s, Duration: 0.38s, Velocity: 0.39
  Note: E3, Time: 1.25s, Duration: 0.25s, Velocity: 0.39
  Note: G3, Time: 1.25s, Duration: 0.25s, Velocity: 0.39
  Note: B3, Time: 1.25s, Duration: 0.25s, Velocity: 0.39
  Note: E4, Time: 1.25s, Duration: 0.25s, Velocity: 0.39
  Note: D5, Time: 1.25s, Duration: 0.25s, Velocity: 0.39
  Note: D5, Time: 1.25s, Duration: 0.25s, Velocity: 0.39
  Note: D4, Time: 1.75s, Duration: 0.25s, Velocity: 0.39
  Note: D3, Time: 1.77s, Duration: 0.25s, Velocity: 0.39
  Note: F#3, Time: 1.77s, Duration: 0.25s, Velocity: 0.39
  Note: A3, Time: 1.77s, Duration: 0.25s, Velocity: 0.39
  Note: D4, Time: 2.01s, Duration: 0.50s, Velocity: 0.39
  Note: D3, Time: 2.02s, Duration: 0.50s, Velocity: 0.39
  Note: F#3, Time: 2.02s, Duration: 0.50s, Velocity: 0.39
  Note: A3, Time: 2.02s, Duration: 0.50s, Velocity: 0.39
  Note: D5, Time: 2.26s, Duration: 0.25s, Velocity: 0.39
  Note: D5, Time: 2.26s, Duration: 0.25s, Velocity: 0.39
  Note: D5, Time: 2.52s, Duration: 0.13s, Velocity: 0.39
  Note: D5, Time: 2.52s, Duration: 0.13s, Velocity: 0.39
  Note: E5, Time: 2.65s, Duration: 0.25s, Velocity: 0.39
  Note: E5, Time: 2.65s, Duration: 0.25s, Velocity: 0.39
  Note: D5, Time: 2.89s, Duration: 0.38s, Velocity: 0.39
  Note: D5, Time: 2.89s, Duration: 0.38s, Velocity: 0.39
  Note: B5, Time: 2.89s, Duration: 0.38s, Velocity: 0.39
  Note: B5, Time: 2.89s, Duration: 0.38s, Velocity: 0.39
  Note: E3, Time: 3.26s, Duration: 0.25s, Velocity: 0.39
  Note: G3, Time: 3.26s, Duration: 0.25s, Velocity: 0.39
  Note: B3, Time: 3.26s, Duration: 0.25s, Velocity: 0.39
  Note: D4, Time: 3.26s, Duration: 0.25s, Velocity: 0.39
  Note: D5, Time: 3.26s, Duration: 0.25s, Velocity: 0.39
  Note: D5, Time: 3.26s, Duration: 0.25s, Velocity: 0.39
  Note: G5, Time: 3.26s, Duration: 0.25s, Velocity: 0.39
  Note: G5, Time: 3.26s, Duration: 0.25s, Velocity: 0.39
  Note: C3, Time: 3.78s, Duration: 0.25s, Velocity: 0.39
  Note: E3, Time: 3.78s, Duration: 0.25s, Velocity: 0.39
  Note: G3, Time: 3.78s, Duration: 0.25s, Velocity: 0.39
  Note: B3, Time: 3.78s, Duration: 0.25s, Velocity: 0.39
  Note: C3, Time: 4.03s, Duration: 0.50s, Velocity: 0.39
  Note: E3, Time: 4.03s, Duration: 0.50s, Velocity: 0.39
  Note: G3, Time: 4.03s, Duration: 0.50s, Velocity: 0.39
  Note: B3, Time: 4.03s, Duration: 0.50s, Velocity: 0.39
  Note: G5, Time: 4.28s, Duration: 0.25s, Velocity: 0.39
